Feature,Importance,Original_Feature
trf2__u_symptom_Symptom 505,0.0,u
trf2__u_symptom_Symptom 58,0.0,u
trf2__u_symptom_Symptom 220,0.0,u
trf2__u_symptom_Symptom 582,0.0,u
trf2__u_symptom_Symptom 188,0.0,u
trf2__u_symptom_Symptom 584,0.0,u
trf2__u_symptom_Symptom 585,0.0,u
trf2__u_symptom_Symptom 586,0.0,u
trf2__location_Location 142,0.0,location
trf2__u_symptom_Symptom 588,0.0,u
trf2__u_symptom_Symptom 590,0.0,u
trf2__location_Location 140,0.0,location
trf2__location_Location 137,0.0,location
trf2__location_Location 194,0.0,location
trf2__location_Location 214,0.0,location
trf2__location_Location 195,0.0,location
trf2__u_symptom_Symptom 157,0.0,u
trf2__u_symptom_Symptom 348,0.0,u
trf2__u_symptom_Symptom 346,0.0,u
trf2__u_symptom_Symptom 345,0.0,u
trf2__u_symptom_Symptom 342,0.0,u
trf2__u_symptom_Symptom 34,0.0,u
trf2__u_symptom_Symptom 338,0.0,u
trf2__u_symptom_Symptom 335,0.0,u
trf2__u_symptom_Symptom 155,0.0,u
trf2__u_symptom_Symptom 350,0.0,u
trf2__u_symptom_Symptom 330,0.0,u
trf2__u_symptom_Symptom 327,0.0,u
trf2__location_Location 87,0.0,location
trf2__u_symptom_Symptom 324,0.0,u
trf2__u_symptom_Symptom 323,0.0,u
trf2__u_symptom_Symptom 322,0.0,u
trf2__u_symptom_Symptom 321,0.0,u
trf2__u_symptom_Symptom 158,0.0,u
trf2__u_symptom_Symptom 351,0.0,u
trf2__u_symptom_Symptom 503,0.0,u
trf2__u_symptom_Symptom 362,0.0,u
trf2__location_Location 61,0.0,location
trf2__location_Location 63,0.0,location
trf2__u_symptom_Symptom 37,0.0,u
trf2__location_Location 65,0.0,location
trf2__u_symptom_Symptom 366,0.0,u
trf2__location_Location 68,0.0,location
trf2__u_symptom_Symptom 364,0.0,u
trf2__u_symptom_Symptom 159,0.0,u
trf2__u_symptom_Symptom 352,0.0,u
trf2__u_symptom_Symptom 359,0.0,u
trf2__location_Location 72,0.0,location
trf2__u_symptom_Symptom 357,0.0,u
trf2__u_symptom_Symptom 356,0.0,u
trf2__u_symptom_Symptom 355,0.0,u
trf2__u_symptom_Symptom 354,0.0,u
trf2__u_symptom_Symptom 353,0.0,u
trf2__u_symptom_Symptom 320,0.0,u
trf2__u_symptom_Symptom 32,0.0,u
trf2__location_Location 89,0.0,location
trf2__u_symptom_Symptom 131,0.0,u
trf2__u_symptom_Symptom 289,0.0,u
trf2__u_symptom_Symptom 150,0.0,u
trf2__u_symptom_Symptom 12,0.0,u
trf2__u_symptom_Symptom 124,0.0,u
trf2__u_symptom_Symptom 125,0.0,u
trf2__u_symptom_Symptom 15,0.0,u
trf2__u_symptom_Symptom 283,0.0,u
trf2__u_symptom_Symptom 133,0.0,u
trf2__u_symptom_Symptom 154,0.0,u
trf2__u_symptom_Symptom 137,0.0,u
trf2__u_symptom_Symptom 275,0.0,u
trf2__u_symptom_Symptom 14,0.0,u
trf2__u_symptom_Symptom 141,0.0,u
trf2__u_symptom_Symptom 142,0.0,u
trf2__u_symptom_Symptom 27,0.0,u
trf2__u_symptom_Symptom 268,0.0,u
trf2__u_symptom_Symptom 109,0.0,u
trf2__u_symptom_Symptom 290,0.0,u
trf2__u_symptom_Symptom 104,0.0,u
trf2__u_symptom_Symptom 103,0.0,u
trf2__u_symptom_Symptom 317,0.0,u
trf2__u_symptom_Symptom 316,0.0,u
trf2__u_symptom_Symptom 314,0.0,u
trf2__location_Location 90,0.0,location
trf2__u_symptom_Symptom 309,0.0,u
trf2__u_symptom_Symptom 308,0.0,u
trf2__u_symptom_Symptom 307,0.0,u
trf2__u_symptom_Symptom 151,0.0,u
trf2__location_Location 94,0.0,location
trf2__u_symptom_Symptom 303,0.0,u
trf2__u_symptom_Symptom 302,0.0,u
trf2__location_Location 95,0.0,location
trf2__u_symptom_Symptom 3,0.0,u
trf2__u_symptom_Symptom 299,0.0,u
trf2__u_symptom_Symptom 262,0.0,u
trf2__location_Location 60,0.0,location
trf2__u_symptom_Symptom 373,0.0,u
trf2__location_Location 6,0.0,location
trf2__u_symptom_Symptom 172,0.0,u
trf2__location_Location 211,0.0,location
trf2__u_symptom_Symptom 144,0.0,u
trf2__u_symptom_Symptom 238,0.0,u
trf2__location_Location 219,0.0,location
trf2__u_symptom_Symptom 461,0.0,u
trf2__u_symptom_Symptom 173,0.0,u
trf2__u_symptom_Symptom 459,0.0,u
trf2__location_Location 225,0.0,location
trf2__location_Location 233,0.0,location
trf2__location_Location 227,0.0,location
trf2__location_Location 228,0.0,location
trf2__u_symptom_Symptom 453,0.0,u
trf2__u_symptom_Symptom 452,0.0,u
trf2__u_symptom_Symptom 45,0.0,u
trf2__u_symptom_Symptom 171,0.0,u
trf2__u_symptom_Symptom 448,0.0,u
trf2__u_symptom_Symptom 175,0.0,u
trf2__u_symptom_Symptom 176,0.0,u
trf2__location_Location 207,0.0,location
trf2__u_symptom_Symptom 178,0.0,u
trf2__u_symptom_Symptom 501,0.0,u
trf2__u_symptom_Symptom 500,0.0,u
trf2__location_Location 2,0.0,location
trf2__u_symptom_Symptom 231,0.0,u
trf2__u_symptom_Symptom 498,0.0,u
trf2__u_symptom_Symptom 497,0.0,u
trf2__u_symptom_Symptom 496,0.0,u
trf2__u_symptom_Symptom 180,0.0,u
trf2__u_symptom_Symptom 179,0.0,u
trf2__u_symptom_Symptom 493,0.0,u
trf2__location_Location 201,0.0,location
trf2__u_symptom_Symptom 488,0.0,u
trf2__location_Location 203,0.0,location
trf2__u_symptom_Symptom 479,0.0,u
trf2__u_symptom_Symptom 234,0.0,u
trf2__u_symptom_Symptom 243,0.0,u
trf2__u_symptom_Symptom 441,0.0,u
trf2__u_symptom_Symptom 160,0.0,u
trf2__location_Location 49,0.0,location
trf2__u_symptom_Symptom 407,0.0,u
trf2__u_symptom_Symptom 404,0.0,u
trf2__u_symptom_Symptom 165,0.0,u
trf2__u_symptom_Symptom 248,0.0,u
trf2__u_symptom_Symptom 400,0.0,u
trf2__u_symptom_Symptom 40,0.0,u
trf2__u_symptom_Symptom 164,0.0,u
trf2__u_symptom_Symptom 390,0.0,u
trf2__u_symptom_Symptom 439,0.0,u
trf2__location_Location 5,0.0,location
trf2__location_Location 50,0.0,location
trf2__u_symptom_Symptom 385,0.0,u
trf2__u_symptom_Symptom 384,0.0,u
trf2__location_Location 53,0.0,location
trf2__u_symptom_Symptom 380,0.0,u
trf2__u_symptom_Symptom 377,0.0,u
trf2__u_symptom_Symptom 408,0.0,u
trf2__u_symptom_Symptom 167,0.0,u
trf2__u_symptom_Symptom 412,0.0,u
trf2__u_symptom_Symptom 415,0.0,u
trf2__location_Location 239,0.0,location
trf2__u_symptom_Symptom 437,0.0,u
trf2__u_symptom_Symptom 436,0.0,u
trf2__u_symptom_Symptom 204,0.0,u
trf2__location_Location 244,0.0,location
trf2__location_Location 26,0.0,location
trf2__u_symptom_Symptom 428,0.0,u
trf2__u_symptom_Symptom 427,0.0,u
trf2__location_Location 29,0.0,location
trf2__location_Location 3,0.0,location
trf2__location_Location 30,0.0,location
trf2__location_Location 31,0.0,location
trf2__u_symptom_Symptom 42,0.0,u
trf2__u_symptom_Symptom 417,0.0,u
trf2__u_symptom_Symptom 416,0.0,u
trf2__u_symptom_Symptom 205,0.0,u
