Feature,Importance,Original_Feature
trf2__u_symptom_Symptom 256,0.0020738682,u
trf2__location_Location 236,0.0020383974,location
trf2__u_symptom_Symptom 113,0.001961882,u
trf2__u_symptom_Symptom 389,0.0019532442,u
trf2__u_symptom_Symptom 569,0.0019461032,u
trf2__u_symptom_Symptom 456,0.001943631,u
trf2__u_symptom_Symptom 329,0.0019407496,u
trf2__u_symptom_Symptom 510,0.0019359854,u
trf2__u_symptom_Symptom 571,0.0018930038,u
trf2__u_symptom_Symptom 601,0.0018646396,u
trf2__u_symptom_Symptom 444,0.0018433413,u
trf2__u_symptom_Symptom 421,0.001836724,u
trf2__location_Location 76,0.0018148914,location
trf2__location_Location 109,0.0018144025,location
trf2__contact_type_Self service,0.0017948436,contact
trf2__u_symptom_Symptom 101,0.0017844427,u
trf2__location_Location 156,0.0017591107,location
trf2__u_symptom_Symptom 237,0.0017584343,u
trf2__u_symptom_Symptom 325,0.0017551506,u
trf2__u_symptom_Symptom 573,0.0017508673,u
trf2__u_symptom_Symptom 518,0.0017416641,u
trf2__u_symptom_Symptom 110,0.0017324827,u
trf2__u_symptom_Symptom 319,0.0017320865,u
trf2__u_symptom_Symptom 22,0.0017290438,u
trf2__u_symptom_Symptom 209,0.0017242932,u
trf2__u_symptom_Symptom 62,0.0017178371,u
trf2__u_symptom_Symptom 595,0.0016817481,u
trf2__location_Location 212,0.0016789174,location
trf2__u_symptom_Symptom 48,0.0016733843,u
trf2__u_symptom_Symptom 464,0.0016663925,u
trf2__u_symptom_Symptom 566,0.0016490724,u
trf2__u_symptom_Symptom 548,0.0016405118,u
trf2__u_symptom_Symptom 287,0.0016224358,u
trf2__u_symptom_Symptom 281,0.001611504,u
trf2__u_symptom_Symptom 273,0.0015978557,u
trf2__u_symptom_Symptom 469,0.0015699031,u
trf2__u_symptom_Symptom 255,0.001560224,u
trf2__u_symptom_Symptom 134,0.0015504509,u
trf2__u_symptom_Symptom 112,0.0015217168,u
trf2__u_symptom_Symptom 88,0.001514612,u
trf2__u_symptom_Symptom 11,0.001509157,u
trf2__u_symptom_Symptom 227,0.0014786391,u
trf2__u_symptom_Symptom 226,0.0014777294,u
trf2__u_symptom_Symptom 382,0.0014733549,u
trf2__u_symptom_Symptom 398,0.0014579489,u
trf2__location_Location 25,0.0014485883,location
trf2__u_symptom_Symptom 396,0.001416614,u
trf2__u_symptom_Symptom 208,0.0014108905,u
trf2__location_Location 70,0.0014099397,location
trf2__location_Location 200,0.0014051702,location
trf2__location_Location 235,0.001402855,location
trf2__u_symptom_Symptom 424,0.0014010452,u
trf2__u_symptom_Symptom 401,0.0013941005,u
trf2__u_symptom_Symptom 467,0.001389691,u
trf2__contact_type_Phone,0.0013845605,contact
trf2__location_Location 241,0.0013785121,location
trf2__u_symptom_Symptom 304,0.0013746159,u
trf2__location_Location 247,0.0013707684,location
trf2__u_symptom_Symptom 491,0.0013692162,u
trf2__location_Location 245,0.0013652826,location
trf2__u_symptom_Symptom 512,0.001364079,u
trf2__u_symptom_Symptom 368,0.0013582513,u
trf2__location_Location 222,0.0013577641,location
trf2__u_symptom_Symptom 598,0.001354588,u
trf2__u_symptom_Symptom 254,0.0013526627,u
trf2__location_Location 155,0.0013508815,location
trf2__u_symptom_Symptom 579,0.0013452836,u
trf2__u_symptom_Symptom 86,0.0013202798,u
trf2__u_symptom_Symptom 331,0.001311857,u
trf2__u_symptom_Symptom 235,0.0012875359,u
trf2__location_Location 97,0.0012862785,location
trf2__u_symptom_Symptom 557,0.0012597664,u
trf2__u_symptom_Symptom 523,0.0012572737,u
trf2__location_Location 52,0.0012484276,location
trf2__u_symptom_Symptom 553,0.001235344,u
trf2__u_symptom_Symptom 291,0.0012194536,u
trf2__location_Location 199,0.0012116688,location
trf2__u_symptom_Symptom 245,0.0012038684,u
trf2__u_symptom_Symptom 544,0.0012013693,u
trf2__location_Location 117,0.0012011476,location
