,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.19086287247563904,0.049948650149265854,0.040310485195572385,0.03171109403340016
Random Forest,0.35235136280186413,0.4377334592056889,0.13164736638191532,0.16908599310711903
XGBoost,0.5430730122864003,0.7616514367226975,0.6785000502500541,0.6999070268954684
