Feature,Importance
trf1__u_symptom_Symptom 126,0.0010178846151197758
trf1__u_symptom_Symptom 121,0.0010173876719212743
trf1__u_symptom_Symptom 592,0.001014923262613604
trf1__u_symptom_Symptom 557,0.0009844961145271632
trf1__location_Location 187,0.000975041170946453
trf1__u_symptom_Symptom 68,0.0009635027505093607
trf1__u_symptom_Symptom 257,0.0009566627205157517
trf1__u_symptom_Symptom 107,0.0009531865110406198
trf1__location_Location 45,0.000950225991309293
trf1__u_symptom_Symptom 236,0.0009442445407114078
trf1__location_Location 15,0.0009430507511112974
trf1__u_symptom_Symptom 47,0.0009406884958431542
trf1__location_Location 37,0.0009331185158494433
trf1__u_symptom_Symptom 10,0.0009315929763269052
trf1__u_symptom_Symptom 581,0.0009248384445834526
trf1__u_symptom_Symptom 228,0.0009018323512379341
trf1__contact_type_Phone,0.0008950686475602945
trf1__u_symptom_Symptom 391,0.0008941312407767896
trf1__u_symptom_Symptom 418,0.0008903767270765104
trf1__location_Location 231,0.000869403262501174
trf1__u_symptom_Symptom 93,0.0008648089770767791
trf1__location_Location 172,0.0008636391555132022
trf1__u_symptom_Symptom 454,0.0008632936036867927
trf1__u_symptom_Symptom 86,0.0008510591901487526
trf1__u_symptom_Symptom 224,0.0008497220505622544
trf1__u_symptom_Symptom 280,0.0008436704172300048
trf1__u_symptom_Symptom 514,0.0008348199257469661
trf1__u_symptom_Symptom 432,0.0008235479305667787
trf1__u_symptom_Symptom 469,0.0008205198393650376
trf1__u_symptom_Symptom 65,0.0008184878635754245
trf1__location_Location 232,0.0008129598149145829
trf1__u_symptom_Symptom 253,0.0007953973242112715
trf1__u_symptom_Symptom 105,0.0007879911997082117
trf1__u_symptom_Symptom 543,0.000767880064054945
trf1__u_symptom_Symptom 136,0.0007671753560916474
trf1__u_symptom_Symptom 314,0.0007576167303680248
trf1__u_symptom_Symptom 267,0.0007574789306105395
trf1__location_Location 46,0.0007564727838356366
trf1__location_Location 111,0.0007544173162116471
trf1__u_symptom_Symptom 2,0.0007529072429702501
trf1__u_symptom_Symptom 424,0.0007462189467969801
trf1__location_Location 44,0.0007457445658334824
trf1__location_Location 112,0.000742959226927666
trf1__location_Location 28,0.0007412778481962846
trf1__u_symptom_Symptom 573,0.000738338207014062
trf1__location_Location 5,0.0007373435115716107
trf1__location_Location 22,0.0007288681178084768
trf1__location_Location 240,0.000724637897697062
trf1__u_symptom_Symptom 324,0.0007216306368852266
trf1__location_Location 36,0.0007187182472459314
trf1__u_symptom_Symptom 13,0.0007177271796711418
trf1__u_symptom_Symptom 462,0.0007115864650462692
trf1__location_Location 249,0.0007064855330222179
trf1__u_symptom_Symptom 579,0.0007054740564501516
trf1__u_symptom_Symptom 247,0.0006998717449634937
trf1__u_symptom_Symptom 215,0.0006722244417956058
trf1__u_symptom_Symptom 496,0.0006710597647317417
trf1__u_symptom_Symptom 297,0.0006510825144039403
trf1__location_Location 39,0.0006236152730314294
trf1__u_symptom_Symptom 258,0.0006203860522458483
trf1__notify_Do Not Notify,0.0006088204511084044
trf1__u_symptom_Symptom 235,0.0006087964981917259
trf1__u_symptom_Symptom 51,0.0005939843537449248
trf1__location_Location 133,0.0005920561232152711
trf1__u_symptom_Symptom 327,0.0005864100624837096
trf1__u_symptom_Symptom 519,0.0005791529501145462
trf1__u_symptom_Symptom 351,0.0005768210668740789
trf1__location_Location 70,0.0005746040251581345
trf1__u_symptom_Symptom 412,0.000568136978184488
trf1__u_symptom_Symptom 43,0.0005676699131043418
trf1__u_symptom_Symptom 371,0.0005674714106449262
trf1__location_Location 113,0.0005657597787595617
trf1__location_Location 173,0.0005609992647673369
trf1__u_symptom_Symptom 113,0.0005601015253568154
trf1__location_Location 247,0.0005593625166353663
trf1__location_Location 216,0.0005463605563348912
trf1__location_Location 10,0.0005448236668947402
trf1__u_symptom_Symptom 54,0.0005444676845723321
trf1__location_Location 241,0.0005430303164423076
trf1__location_Location 153,0.0005415155875261492
trf1__location_Location 149,0.0005388026005570819
trf1__location_Location 146,0.0005014749204918876
trf1__location_Location 214,0.0004994207299829992
trf1__u_symptom_Symptom 106,0.00048428669430583587
trf1__u_symptom_Symptom 463,0.00047852835418389465
trf1__u_symptom_Symptom 332,0.0004732287370718214
trf1__u_symptom_Symptom 114,0.0004724511499356002
trf1__u_symptom_Symptom 212,0.0004683250298647371
trf1__u_symptom_Symptom 312,0.00046810757508969103
trf1__location_Location 224,0.00046648403025464767
trf1__u_symptom_Symptom 474,0.00045959280296654974
trf1__u_symptom_Symptom 325,0.0004294752073377076
trf1__location_Location 92,0.00042716251231458553
trf1__location_Location 38,0.00042660946163055946
trf1__u_symptom_Symptom 205,0.00042584605792695513
trf1__location_Location 83,0.00042208970930417464
trf1__u_symptom_Symptom 285,0.00041913491822987423
trf1__location_Location 81,0.0004186939269886301
trf1__location_Location 33,0.00041820579920458115
trf1__u_symptom_Symptom 295,0.0004090552492660468
trf1__u_symptom_Symptom 513,0.000404964913441923
trf1__u_symptom_Symptom 329,0.0003986505865403192
trf1__location_Location 72,0.0003926492781742747
trf1__location_Location 26,0.0003855942290515756
trf1__location_Location 115,0.00038555652826405615
trf1__location_Location 100,0.000381893965541933
trf1__u_symptom_Symptom 170,0.00038058465877337456
trf1__u_symptom_Symptom 243,0.00037870138027714566
trf1__u_symptom_Symptom 354,0.0003776779541001091
trf1__u_symptom_Symptom 165,0.00037253513464025506
trf1__u_symptom_Symptom 291,0.00037058063682720427
trf1__location_Location 125,0.0003698105301035082
trf1__u_symptom_Symptom 587,0.0003582296888449479
trf1__u_symptom_Symptom 131,0.00035601888047301084
trf1__u_symptom_Symptom 127,0.00035527724787326866
trf1__u_symptom_Symptom 56,0.00035099380691427625
trf1__location_Location 82,0.00033207764354300086
trf1__u_symptom_Symptom 425,0.0003318484578809591
trf1__location_Location 226,0.00031352018713205244
trf1__u_symptom_Symptom 33,0.00030543360337887364
trf1__u_symptom_Symptom 374,0.00030032999589799683
trf1__location_Location 90,0.00028053252716379314
trf1__location_Location 235,0.000279475856852089
trf1__location_Location 223,0.00027858819840529314
trf1__location_Location 196,0.00027668526144499254
trf1__u_symptom_Symptom 596,0.0002710291021628823
trf1__u_symptom_Symptom 601,0.0002596093751011959
trf1__location_Location 171,0.00025580248007043974
trf1__location_Location 34,0.00025521761120377343
trf1__u_symptom_Symptom 423,0.0002530500889400848
trf1__location_Location 23,0.0002125283307789124
trf1__u_symptom_Symptom 98,0.00021093023941184865
trf1__u_symptom_Symptom 322,0.0002094020295328361
trf1__location_Location 107,0.00020570890595060767
trf1__u_symptom_Symptom 27,0.00020320752869670063
trf1__u_symptom_Symptom 141,0.00019954641250125333
trf1__contact_type_IVR,0.00019945002868495239
trf1__u_symptom_Symptom 558,0.00019867764121798162
trf1__u_symptom_Symptom 57,0.00019795661837666463
